Training Logs for vgg_a_bn with lr=0.0005
============================================================
Epoch	Train Loss	Val Loss	Train Acc	Val Acc
1	2.548918	1.005190	56.85%	65.61%
2	2.524220	0.795702	73.79%	73.02%
3	2.594815	0.840399	79.86%	72.51%
4	2.351637	0.703234	84.36%	77.33%
5	2.076614	0.723671	87.57%	76.57%
6	2.025050	0.676780	90.34%	79.54%
7	2.097324	0.742445	92.58%	78.35%
8	1.843649	0.801444	94.58%	78.83%
9	1.964042	0.751766	95.51%	80.64%
10	1.879076	0.809934	96.20%	80.88%
11	1.923854	0.791406	96.74%	80.48%
12	1.919730	0.748688	97.46%	81.79%
13	1.903108	0.812798	97.49%	81.23%
14	1.742120	0.909000	97.96%	79.65%
15	1.822610	1.008648	97.95%	79.19%
16	1.764934	0.887526	98.09%	82.11%
17	1.838689	0.954316	98.35%	80.92%
18	1.833382	1.056110	98.44%	80.23%
19	1.650183	0.946792	98.54%	82.01%
20	1.686315	0.926503	98.45%	81.25%
