Training Logs for vgg_a with lr=0.0001
============================================================
Epoch	Train Loss	Val Loss	Train Acc	Val Acc
1	2.302306	1.423496	36.00%	48.33%
2	2.302367	1.182322	52.37%	57.62%
3	2.302445	1.059512	60.50%	61.71%
4	2.300484	0.912926	66.51%	67.62%
5	2.299656	0.838481	71.49%	70.49%
6	2.300631	0.788376	76.03%	72.55%
7	2.297972	0.763909	79.73%	74.05%
8	2.300278	0.745302	83.83%	74.94%
9	2.298303	0.767857	86.92%	75.14%
10	2.289613	0.808509	90.77%	75.57%
11	2.287087	0.891986	93.48%	75.78%
12	2.277714	1.004871	95.36%	74.79%
13	2.281024	1.007523	96.31%	76.24%
14	2.276216	1.124840	97.01%	75.62%
15	2.268568	1.165360	97.65%	75.12%
16	2.258666	1.158550	97.88%	76.17%
17	2.244504	1.173125	98.30%	76.11%
18	2.238521	1.277810	98.33%	74.81%
19	2.154363	1.399692	98.64%	74.70%
20	2.202329	1.207741	98.32%	76.00%
